GeneID,Symbol,Experimental_Essentiality,FBA_Essentiality
100774283,A3galt2,0,0
100770462,A4galt,0,0
100771969,A4gnt,0,0
100750893,Aacs,1,0
100771815,Aadac,0,0
100751803,Aadacl3,0,0
107979660,Aadat,0,0
100755392,Aanat,0,0
100766178,Aars1,1,1
100754221,Aars2,1,0
100770305,Aasdh,0,0
100770305,Aasdh,0,0
100754811,Aasdhppt,1,0
100751161,Aass,0,0
100765485,Abat,0,0
100761226,Abca1,0,0
100750884,Abca12,0,0
100770749,Abca3,0,0
100764464,Abca7,0,0
100682536,Abcb1,0,0
100762480,Abcb11,0,0
100682535,Abcb4,0,0
100766714,Abcb7,1,0
100689208,Abcc1,0,0
100689220,Abcc2,0,0
100767558,Abcc3,0,0
100766754,Abcc4,0,0
100774121,Abcc5,0,0
100752070,Abcc6,0,0
100764394,Abcc8,0,0
100769198,Abcc9,0,0
100769988,Abcd1,0,0
100758232,Abcd2,0,0
100765314,Abcd3,0,0
100768387,Abcd4,0,0
100761503,Abcg2,0,0
100765125,Abhd12,0,0
100769391,Abhd6,0,0
100772592,Abo,0,0
100765829,Acaa2,0,0
100762904,Acaca,1,1
100762904,Acaca,1,1
100753124,Acacb,0,1
100751213,Acad8,0,0
100770943,Acad9,1,0
100759026,Acadl,0,0
100763159,Acadm,0,0
100774097,Acads,0,0
100766828,Acadsb,0,0
100767527,Acadvl,0,0
100770936,Acat1,0,0
100773997,Acer1,0,0
100758912,Acer2,0,0
100770679,Ache,0,0
100773325,Acly,1,0
100773325,Acly,1,0
100771266,Acmsd,0,0
100766024,Aco1,0,0
100759203,Aco2,1,0
100764165,Acod1,0,0
100752371,Acot11,0,0
100752768,Acot12,0,0
100758652,Acot13,0,0
100774016,Acot6,0,0
100755154,Acot7,0,0
100761882,Acot9,0,0
100689199,Acox1,0,0
100766043,Acox2,0,0
100767060,Acox3,0,0
100773599,Acp1,0,0
100756404,Acp2,0,0
100763644,Acp3,0,0
100757346,Acp4,0,0
100751531,Acp6,0,0
100754767,Acsbg1,0,0
100773126,Acsbg2,0,0
100768417,Acsf2,0,0
100764604,Acsf3,0,0
100751492,Acsl1,0,0
100752583,Acsl3,0,0
100760496,Acsl4,0,0
100773264,Acsl5,0,0
100762894,Acsl6,0,0
100751305,Acsm3,0,0
100769754,Acss1,0,0
100752902,Acss2,0,0
100772576,Acss3,0,0
100763612,Acy3,0,0
100755378,Acyp1,0,0
100758982,Acyp2,0,0
100756254,Ada,0,0
100764561,Adcy1,0,0
100767272,Adcy10,0,0
100773811,Adcy2,0,0
100770498,Adcy3,0,0
100768998,Adcy4,0,0
100765958,Adcy5,0,0
100768368,Adcy6,0,0
100756132,Adcy7,0,0
100751372,Adcy9,0,0
100767929,Adh5,0,0
100759210,Adh7,0,0
100764101,Adhfe1,0,0
100765075,Adi1,0,0
100736551,Adk,0,0
100754978,Adpgk,0,0
100767531,Adprm,0,0
100689060,Adsl,1,1
100751825,Adss1,0,0
100767083,Adss2,1,0
100773211,Afmid,0,0
100754017,Aga,0,0
100771779,Agk,0,0
100772306,Agl,0,0
100752066,Agmat,0,0
100752746,Agmo,0,0
100758206,Agpat1,0,0
100754963,Agpat2,0,0
100754963,Agpat2,0,0
100763383,Agpat3,0,0
100761743,Agpat4,0,0
100757875,Agpat5,0,0
100756809,Agps,1,0
100771278,Agxt,0,0
100759906,Agxt2,0,0
100750969,Ahcy,1,0
100767631,Ahcyl1,1,0
100754476,Ahcyl2,1,0
100689250,Aicda,0,0
100759346,Ak1,0,0
100756723,Ak2,1,0
100756723,Ak2,1,0
100760312,Ak3,0,0
100755987,Ak4,0,0
100761703,Ak5,0,0
100768838,Ak6,1,0
100760489,Ak7,0,0
100767050,Ak8,0,0
100752880,Ak9,0,0
100689106,Akr1a1,0,0
100751272,Akr1b1,0,0
100689318,Akr1b8,0,0
100770348,Akr1d1,0,0
100752314,Alad,1,0
100766370,Alas1,1,0
